date,weight,parking_active,shares,cash_krw,parked_krw,tqqq_buy_fee_krw,tqqq_sell_fee_krw,sleeve_buy_fee_krw,sleeve_sell_fee_krw,equity_krw
2018-01-17,0.9,True,65094.578056794395,-2.3283064365386963e-10,65276130.16831987,0.0,896.2726306217082,179.14698416286322,0.0,652770980.4597317
2018-01-18,0.9,True,65089.12388737429,0.0,65334384.911717966,0.0,24.63625639672527,4.92429522418294,0.0,653344115.1621437
2018-01-19,0.9,True,65028.16178267287,0.0,65899081.09456383,0.0,278.0049609210291,55.56763492462125,0.0,658993813.0990016
2018-01-22,0.8,True,57628.455973103366,0.0,135464358.5792731,0.0,34798.96713813173,6955.617969115623,0.0,677488811.2367945
2018-01-23,0.0,True,0.0,0.0,690908841.8327858,0.0,277879.6018521663,55542.578152432805,0.0,690908841.8327858
2018-01-24,0.0,True,0.0,0.0,691004226.2585255,0.0,0.0,0.0,0.0,691004226.2585255
2018-01-25,0.0,True,0.0,0.0,691099623.8527008,0.0,0.0,0.0,0.0,691099623.8527008
2018-01-26,0.0,True,0.0,0.0,691195034.6171299,0.0,0.0,0.0,0.0,691195034.6171299
2018-01-29,0.0,True,0.0,0.0,691290458.553631,0.0,0.0,0.0,0.0,691290458.553631
2018-01-30,0.0,True,0.0,0.0,691385895.6640224,0.0,0.0,0.0,0.0,691385895.6640224
2018-01-31,0.0,True,0.0,0.0,691481345.9501231,0.0,0.0,0.0,0.0,691481345.9501231
2018-02-01,0.0,True,0.0,0.0,691576809.4137518,0.0,0.0,0.0,0.0,691576809.4137518
2018-02-02,0.0,True,0.0,0.0,691672286.056728,0.0,0.0,0.0,0.0,691672286.056728
2018-02-05,0.0,True,0.0,0.0,691767775.8808712,0.0,0.0,0.0,0.0,691767775.8808712
2018-02-06,0.0,True,0.0,0.0,691863278.888001,0.0,0.0,0.0,0.0,691863278.888001
2018-02-07,0.0,True,0.0,0.0,691958795.0799373,0.0,0.0,0.0,0.0,691958795.0799373
2018-02-08,1.0,False,98213.42062733385,0.0,0.0,345819.64968818333,0.0,0.0,69205.43244585006,691639299.3763666
2018-02-09,1.0,False,98213.42062733385,0.0,0.0,0.0,0.0,0.0,0.0,724197062.9258521
2018-02-12,0.95,False,93302.74959596715,38217614.97839294,0.0,0.0,19118.366672532735,0.0,0.0,764715548.5346359
2018-02-13,0.95,False,93244.33493672052,38677765.32131383,0.0,0.0,230.1902665937423,0.0,0.0,773559680.0413425
2018-02-14,0.95,False,92986.40657753142,40828521.230421655,0.0,0.0,1075.915912510167,0.0,0.0,816590867.0107694
2018-02-15,0.95,False,92755.35880844992,42855827.34402137,0.0,0.0,1014.1601368682927,0.0,0.0,857135815.9230264
2018-02-16,0.95,False,92807.62771649372,42401867.16941861,0.0,226.8666539743937,0.0,0.0,0.0,848041653.8547971
2018-02-20,0.95,False,92784.5538272303,42603065.045095265,0.0,0.0,100.64926246956347,0.0,0.0,852063213.2378919
2018-02-21,0.95,False,92826.6881871107,42238608.53386465,0.0,182.13718702179645,0.0,0.0,0.0,844775631.283847
2018-02-22,0.95,False,92825.79577810579,42246321.485383675,0.0,0.0,3.8584049619962606,0.0,0.0,844926503.017366
2018-02-23,0.95,False,92564.85160622274,44635972.74903572,0.0,0.0,1195.4233434977718,0.0,0.0,892742168.0242392
2018-02-26,0.9,True,87523.68924232821,0.0,92645381.82984807,0.0,24021.347483239282,9264.538182984807,0.0,926753391.2694758
