time,QQQ종가,TQQQ종가,SPY종가,QQQ3일선,QQQ161일선,TQQQ200일선,SPY200일선,TQQQ200일 이격도
2007-01-12,45.310001373291016,0.5337494861129781,143.24000549316406,45.003334045410156,40.411863457342115,0.3987696028904668,132.39909976959228,133.84909036298518
2007-01-16,45.279998779296875,0.5326891990698706,142.9600067138672,45.223333994547524,40.45180134743637,0.3991937690613156,132.46374980926512,133.4412609501553
2007-01-17,44.90999984741211,0.5196308218616636,143.02000427246094,45.166666666666664,40.486273392387055,0.3995318101794934,132.52984981536866,130.05993731217913
2007-01-18,44.08000183105469,0.4908203640895371,142.5399932861328,44.756666819254555,40.514782710104996,0.3997451481990456,132.59339977264403,122.78331989789213
2007-01-19,44.16999816894531,0.49382662771217695,142.82000732421875,44.38666661580404,40.54913052860994,0.3999655015710782,132.65884983062745,123.46730549820148
2007-01-22,43.689998626708984,0.47772724588703064,142.3800048828125,43.97999954223633,40.57937896918066,0.4000683962672486,132.71794986724854,119.4113932378466
2007-01-23,43.58000183105469,0.4741189738868433,142.8000030517578,43.813332875569664,40.60322990180543,0.4000882673631266,132.77689990997314,118.50359347241874
2007-01-24,44.29999923706055,0.4976181306326399,143.9499969482422,43.856666564941406,40.63217400023656,0.40020577381058553,132.8422999191284,124.34056757715817
2007-01-25,43.72999954223633,0.47840985608515546,142.25999450683594,43.87000020345052,40.66291934659022,0.40029547706735913,132.90589992523192,119.51417977292103
2007-01-26,43.56999969482422,0.4731586209073359,142.1300048828125,43.86666615804037,40.69285723289347,0.4003687169595059,132.96784992218016,118.18071714009368
2007-01-29,43.61000061035156,0.474461818852609,142.0500030517578,43.63666661580404,40.72484482001074,0.40050380661844853,133.03489994049073,118.46624451802495
2007-01-30,43.630001068115234,0.47511461317287673,142.7899932861328,43.60333379109701,40.757329289217175,0.40064055884337146,133.1044498825073,118.5887456188929
2007-01-31,44.06999969482422,0.48948888125958145,143.75,43.77000045776367,40.79409946417957,0.40082195163547807,133.179649848938,122.12127585884825
2007-02-01,44.0,0.48715640525241405,144.61000061035156,43.90000025431315,40.83509324352193,0.4010627314276749,133.2593998336792,121.46638594871904
2007-02-02,44.15999984741211,0.4924708336960198,144.80999755859375,44.076666514078774,40.87801249723257,0.401203631121161,133.32994983673095,122.74834909141106
2007-02-05,44.119998931884766,0.4911325671004747,144.85000610351562,44.09333292643229,40.918323042970265,0.4013066749484117,133.39944988250733,122.38335361942589
2007-02-06,44.060001373291016,0.4891289345742771,144.88999938964844,44.11333338419596,40.95192552649456,0.40142452333953244,133.4682498550415,121.84829429580279
2007-02-07,44.459999084472656,0.5024505719917259,145.2100067138672,44.21333312988281,40.98993794222056,0.40169113743356705,133.53854991912843,125.08380822188857
2007-02-08,44.45000076293945,0.5021115934170456,145.02000427246094,44.323333740234375,41.029813730938834,0.401962472892341,133.60909992218018,124.91504239290714
2007-02-09,43.880001068115234,0.48279527507488423,143.94000244140625,44.26333363850912,41.065838570920576,0.40215163550858135,133.67694995880126,120.05304279424772
2007-02-12,43.709999084472656,0.47718386993873213,143.4499969482422,44.01333363850912,41.09708079936342,0.4023143349183826,133.74219997406007,118.6097109951447
2007-02-13,43.86000061035156,0.4820965885464777,144.66000366210938,43.81666692097982,41.13229820298852,0.40243786527374686,133.81034999847412,119.79404279429453
2007-02-14,44.599998474121094,0.5064981234774262,145.61000061035156,44.0566660563151,41.17236029583475,0.4027499662651314,133.88104999542236,125.75994187520232
2007-02-15,44.86000061035156,0.5153562354913046,145.8000030517578,44.43999989827474,41.21341620024687,0.403171616557879,133.95805004119873,127.82552499385098
2007-02-16,44.709999084472656,0.5101865372762047,145.72999572753906,44.72333272298177,41.2580124754343,0.40355025626588115,134.02979999542237,126.42453557012875
2007-02-20,45.04999923706055,0.5218257793299428,146.0399932861328,44.87333297729492,41.30298140626516,0.4039965024569063,134.10554996490478,129.16591508997163
