time,equity
2023-09-27,119.67247847902689
2023-09-28,122.5694496021606
2023-09-29,122.84534472263344
2023-10-02,125.77681095834545
2023-10-03,119.1206750820505
2023-10-04,123.9489515165862
2023-10-05,122.63842667128648
2023-10-06,128.81172306370024
2023-10-09,130.7085595745854
2023-10-10,132.84679609336507
2023-10-11,135.67275502552067
2023-10-12,134.13389280180365
2023-10-13,129.2145365432581
2023-10-16,133.43596174444858
2023-10-17,132.1975140953624
2023-10-18,126.77354057980885
2023-10-19,123.48802384238006
2023-10-20,118.08594304003738
2023-10-23,119.09393449414122
2023-10-24,122.35226421636621
2023-10-25,113.60423453968541
2023-10-26,113.60423453968541
2023-10-27,113.60423453968541
2023-10-30,113.60423453968541
2023-10-31,113.60423453968541
2023-11-01,113.60423453968541
2023-11-02,113.54746080928076
2023-11-03,117.55134641346945
2023-11-06,118.8963880299136
2023-11-07,122.24339034717929
2023-11-08,122.46235144282028
2023-11-09,119.55328324932138
2023-11-10,127.52784260379791
2023-11-13,126.40518022087036
2023-11-14,134.1092011594551
2023-11-15,134.4465050248355
2023-11-16,134.64319963572885
2023-11-17,134.7274805698927
2023-11-20,139.0537796636591
2023-11-21,136.78586920754813
2023-11-22,138.21630639910228
2023-11-24,137.59990187956893
2023-11-27,137.23548067902132
2023-11-28,138.21680426040257
2023-11-29,137.76851143618717
2023-11-30,136.73145099327135
2023-12-01,137.7692821289484
2023-12-04,134.2329722704328
2023-12-05,135.17212519696773
2023-12-06,132.8399088758899
2023-12-07,138.23402567149847
2023-12-08,139.8333172364653
2023-12-11,143.03355534062894
2023-12-12,146.14174787355904
2023-12-13,150.7790684974257
2023-12-14,150.5563172568555
2023-12-15,152.1713341485237
2023-12-18,155.035990417921
2023-12-19,157.1176326216225
2023-12-20,150.24377428085197
2023-12-21,154.72858912593676
2023-12-22,155.2839104222629
2023-12-26,157.83741494313193
2023-12-27,158.58546773950408
2023-12-28,158.22544478467734
2023-12-29,156.25868743170878
2024-01-02,149.12960277330112
2024-01-03,144.83488910846037
2024-01-04,142.64747165944553
2024-01-05,143.16095537697154
2024-01-08,151.521321702073
2024-01-09,152.41644706583085
2024-01-10,155.12794316817693
2024-01-11,155.79752126028887
2024-01-12,155.96484105546497
2024-01-16,155.8811880970215
2024-01-17,153.45500129082433
2024-01-18,159.37688881168654
2024-01-19,167.6668064553932
2024-01-22,168.27546152917256
2024-01-23,170.07305967000434
2024-01-24,172.58673806358013
2024-01-25,173.02798875621292
2024-01-26,170.1603814754136
2024-01-29,174.66278361895726
2024-01-30,171.522550458255
2024-01-31,162.4414801015762
2024-02-01,167.6070249886678
2024-02-02,175.19049548279656
2024-02-05,174.39162689770805
2024-02-06,173.4821062584345
2024-02-07,178.1421829879726
2024-02-08,178.80204387669392
2024-02-09,183.51997201959216
2024-02-12,181.79017688230277
2024-02-13,174.89493108006238
2024-02-14,179.8884195255583
2024-02-15,181.2435029673367
2024-02-16,176.7666917126705
2024-02-20,173.08091821408294
2024-02-21,171.13643431242235
2024-02-22,184.4577097806637
2024-02-23,182.9401541964183
2024-02-26,182.71922117526503
2024-02-27,183.74109361686195
2024-02-28,181.06350656053033
2024-02-29,184.9893309166831
2024-03-01,192.619790526082
2024-03-04,190.78881974442413
2024-03-05,182.60656942902938
2024-03-06,185.64074294264478
2024-03-07,193.0870010372458
2024-03-08,185.47809922465004
2024-03-11,183.5324215845969
2024-03-12,190.5443994913111
2024-03-13,186.5534694950735
2024-03-14,185.1922200039909
2024-03-15,179.10326836507022
2024-03-18,183.65195215816277
2024-03-19,184.79295628909787
2024-03-20,190.07691129650172
2024-03-21,192.29487862336967
2024-03-22,192.65483975273037
2024-03-25,190.8829311096104
2024-03-26,189.27547462084732
2024-03-27,190.77333285678245
2024-03-28,189.69238521362485
2024-04-01,190.74617174138496
2024-04-02,186.14512093842083
2024-04-03,187.25675375965886
2024-04-04,179.3130618283302
2024-04-05,185.0066486293757
2024-04-08,185.11790925893567
2024-04-09,186.8422907451171
2024-04-10,182.42416729324813
2024-04-11,190.14114213454923
2024-04-12,181.8755832855039
2024-04-15,173.6456461567122
2024-04-16,173.67584056581515
2024-04-17,167.42397763145814
2024-04-18,164.52121305498054
2024-04-19,154.62826759019623
2024-04-22,158.99329435052726
2024-04-23,165.86843789758126
2024-04-24,167.4413446525494
2024-04-25,164.84067837949914
2024-04-26,172.19243402289226
2024-04-29,174.18657272223652
2024-04-30,164.5211665424512
2024-05-01,161.071585635046
2024-05-02,166.85478195035606
2024-05-03,176.50329035786686
2024-05-06,182.11956579311033
2024-05-07,182.11956575221723
2024-05-08,181.78772564771782
2024-05-09,182.75309794015038
2024-05-10,183.959610400557
2024-05-13,185.13573777923344
2024-05-14,188.48248219322895
2024-05-15,196.91322722116047
2024-05-16,195.82417487627697
2024-05-17,195.43299464822613
2024-05-20,199.06574113713668
2024-05-21,199.98603920203678
2024-05-22,199.87453196133615
2024-05-23,197.19825622292865
2024-05-24,202.1675154062554
2024-05-28,204.14423416728732
2024-05-29,200.30591383920674
2024-05-30,194.50826230424823
2024-05-31,194.31250207752507
2024-06-03,196.01844072470718
2024-06-04,197.33158460241197
